"accruedInterest","askEhmYield","askPrice","askYield","bidEhmYield","bidPrice","bidYield","coupon","currency","green","issueDate","longName","maturityDate","maturityInDays","maturityInDays_val","name","rawName","securityType","settleDate"
"1,8169","","100,0000","","","100,0000","",,"HUF",0,"2013.12.02","A321202S13","2032.12.02","3250 nap",3250,"2032/S_BABA","2032/S_BABA","BABA","2024.01.09"
"16,3973","","100,0000","","","100,0000","",,"HUF",0,"2014.02.03","A330201S14","2033.02.01","3311 nap",3311,"2033/S_BABA","2033/S_BABA","BABA","2024.01.09"
"16,3973","","100,0000","","","100,0000","",,"HUF",0,"2015.02.02","A340201S15","2034.02.01","3676 nap",3676,"2034/S_BABA","2034/S_BABA","BABA","2024.01.09"
"16,3973","","100,0000","","","100,0000","",,"HUF",0,"2016.02.01","A350201S16","2035.02.01","4041 nap",4041,"2035/S_BABA","2035/S_BABA","BABA","2024.01.09"
"16,3973","","100,0000","","","100,0000","",,"HUF",0,"2017.02.01","A360201S17","2036.02.01","4406 nap",4406,"2036/S_BABA","2036/S_BABA","BABA","2024.01.09"
"16,3973","","100,0000","","","100,0000","",,"HUF",0,"2018.02.01","A370201S18","2037.02.01","4772 nap",4772,"2037/S_BABA","2037/S_BABA","BABA","2024.01.09"
"16,3973","","100,0000","","","100,0000","",,"HUF",0,"2019.02.01","A380201S19","2038.02.01","5137 nap",5137,"2038/S_BABA","2038/S_BABA","BABA","2024.01.09"
"16,3973","","100,0000","","","100,0000","",,"HUF",0,"2020.02.03","A390201S20","2039.02.01","5502 nap",5502,"2039/S_BABA","2039/S_BABA","BABA","2024.01.09"
"16,3973","","100,0000","","","100,0000","",,"HUF",0,"2021.02.01","A400201S21","2040.02.01","5867 nap",5867,"2040/S_BABA","2040/S_BABA","BABA","2024.01.09"
"16,3973","","100,0000","","","100,0000","",,"HUF",0,"2022.02.01","A410201S22","2041.02.01","6233 nap",6233,"2041/S_BABA","2041/S_BABA","BABA","2024.01.09"
"16,3973","","100,0000","","","100,0000","",,"HUF",0,"2023.02.01","A420201S23","2042.02.01","6598 nap",6598,"2042/S_BABA","2042/S_BABA","BABA","2024.01.09"
