"accruedInterest","askEhmYield","askPrice","askYield","bidEhmYield","bidPrice","bidYield","coupon","currency","green","issueDate","longName","maturityDate","maturityInDays","maturityInDays_val","name","rawName","securityType","settleDate"
0,"","","","10,38","99,8013","10,24",0,"HUF",0,"2022.08.24","D230823","2023.08.23","7 nap",7,"D230823","D230823","DKJ","2023.08.16"
0,"","","","10,38","99,6034","10,24",0,"HUF",0,"2023.05.31","D230830","2023.08.30","14 nap",14,"D230830","D230830","DKJ","2023.08.16"
0,"","","","10,38","99,4062","10,24",0,"HUF",0,"2023.06.07","D230906","2023.09.06","21 nap",21,"D230906","D230906","DKJ","2023.08.16"
0,"","","","10,38","99,2098","10,24",0,"HUF",0,"2023.06.14","D230913","2023.09.13","28 nap",28,"D230913","D230913","DKJ","2023.08.16"
0,"9,02","99,1421","8,90","10,38","99,0143","10,24",0,"HUF",0,"2023.02.15","D230920","2023.09.20","35 nap",35,"D230920","D230920","DKJ","2023.08.16"
0,"9,02","98,9723","8,90","10,38","98,8194","10,24",0,"HUF",0,"2023.06.28","D230927","2023.09.27","42 nap",42,"D230927","D230927","DKJ","2023.08.16"
0,"9,02","98,8031","8,90","10,38","98,6254","10,24",0,"HUF",0,"2023.07.05","D231004","2023.10.04","49 nap",49,"D231004","D231004","DKJ","2023.08.16"
0,"9,02","98,6345","8,90","10,38","98,4321","10,24",0,"HUF",0,"2023.07.12","D231011","2023.10.11","56 nap",56,"D231011","D231011","DKJ","2023.08.16"
0,"9,02","98,4664","8,90","10,38","98,2395","10,24",0,"HUF",0,"2022.10.19","D231018","2023.10.18","63 nap",63,"D231018","D231018","DKJ","2023.08.16"
0,"9,02","98,2989","8,90","10,38","98,0478","10,24",0,"HUF",0,"2023.07.26","D231025","2023.10.25","70 nap",70,"D231025","D231025","DKJ","2023.08.16"
0,"9,02","98,1558","8,90","10,38","97,8840","10,24",0,"HUF",0,"2023.08.02","D231031","2023.10.31","76 nap",76,"D231031","D231031","DKJ","2023.08.16"
0,"9,02","97,9656","8,90","10,38","97,6664","10,24",0,"HUF",0,"2023.08.09","D231108","2023.11.08","84 nap",84,"D231108","D231108","DKJ","2023.08.16"
0,"9,02","97,7998","8,90","10,38","97,4769","10,24",0,"HUF",0,"2023.08.16","D231115","2023.11.15","91 nap",91,"D231115","D231115","DKJ","2023.08.16"
0,"9,07","97,4560","8,95","9,93","97,2239","9,79",0,"HUF",0,"2023.04.19","D231129","2023.11.29","105 nap",105,"D231129","D231129","DKJ","2023.08.16"
0,"9,23","96,7474","9,10","10,04","96,4716","9,90",0,"HUF",0,"2022.12.28","D231227","2023.12.27","133 nap",133,"D231227","D231227","DKJ","2023.08.16"
0,"9,33","96,0482","9,20","10,06","95,7520","9,92",0,"HUF",0,"2023.06.21","D240124","2024.01.24","161 nap",161,"D240124","D240124","DKJ","2023.08.16"
0,"9,19","95,4595","9,06","10,00","95,0783","9,86",0,"HUF",0,"2023.03.08","D240221","2024.02.21","189 nap",189,"D240221","D240221","DKJ","2023.08.16"
0,"9,25","94,7891","9,12","10,02","94,3793","9,88",0,"HUF",0,"2023.08.16","D240320","2024.03.20","217 nap",217,"D240320","D240320","DKJ","2023.08.16"
0,"9,33","93,8145","9,20","10,06","93,3625","9,92",0,"HUF",0,"2023.05.03","D240430","2024.04.30","258 nap",258,"D240430","D240430","DKJ","2023.08.16"
0,"9,14","92,6924","9,01","9,94","92,1022","9,80",0,"HUF",0,"2023.06.28","D240626","2024.06.26","315 nap",315,"D240626","D240626","DKJ","2023.08.16"
