"accruedInterest","askEhmYield","askPrice","askYield","bidEhmYield","bidPrice","bidYield","coupon","currency","green","issueDate","longName","maturityDate","maturityInDays","maturityInDays_val","name","rawName","securityType","settleDate"
0,"","","","9,11","99,7758","8,99",0,"HUF",0,"2023.08.16","D231115","2023.11.15","9 nap",9,"D231115","D231115","DKJ","2023.11.06"
0,"","","","9,12","99,6020","8,99",0,"HUF",0,"2023.08.23","D231122","2023.11.22","16 nap",16,"D231122","D231122","DKJ","2023.11.06"
0,"7,71","99,5168","7,60","9,12","99,4289","8,99",0,"HUF",0,"2023.04.19","D231129","2023.11.29","23 nap",23,"D231129","D231129","DKJ","2023.11.06"
0,"","","","9,11","99,2564","8,99",0,"HUF",0,"2023.09.06","D231206","2023.12.06","30 nap",30,"D231206","D231206","DKJ","2023.11.06"
0,"7,71","99,2249","7,60","9,11","99,0845","8,99",0,"HUF",0,"2023.09.13","D231213","2023.12.13","37 nap",37,"D231213","D231213","DKJ","2023.11.06"
0,"7,71","99,0797","7,60","9,11","98,9132","8,99",0,"HUF",0,"2023.09.20","D231220","2023.12.20","44 nap",44,"D231220","D231220","DKJ","2023.11.06"
0,"7,71","98,9348","7,60","9,12","98,7424","8,99",0,"HUF",0,"2022.12.28","D231227","2023.12.27","51 nap",51,"D231227","D231227","DKJ","2023.11.06"
0,"7,71","98,7904","7,60","9,11","98,5723","8,99",0,"HUF",0,"2023.10.04","D240103","2024.01.03","58 nap",58,"D240103","D240103","DKJ","2023.11.06"
0,"7,71","98,6464","7,60","9,12","98,4027","8,99",0,"HUF",0,"2023.10.11","D240110","2024.01.10","65 nap",65,"D240110","D240110","DKJ","2023.11.06"
0,"7,71","98,5028","7,60","9,11","98,2338","8,99",0,"HUF",0,"2023.10.18","D240117","2024.01.17","72 nap",72,"D240117","D240117","DKJ","2023.11.06"
0,"7,71","98,3596","7,60","9,11","98,0654","8,99",0,"HUF",0,"2023.06.21","D240124","2024.01.24","79 nap",79,"D240124","D240124","DKJ","2023.11.06"
0,"7,71","98,2168","7,60","9,12","97,8975","8,99",0,"HUF",0,"2023.11.02","D240131","2024.01.31","86 nap",86,"D240131","D240131","DKJ","2023.11.06"
0,"7,81","97,7626","7,70","8,66","97,5246","8,54",0,"HUF",0,"2023.03.08","D240221","2024.02.21","107 nap",107,"D240221","D240221","DKJ","2023.11.06"
0,"7,77","97,2077","7,66","8,56","96,9321","8,44",0,"HUF",0,"2023.08.16","D240320","2024.03.20","135 nap",135,"D240320","D240320","DKJ","2023.11.06"
0,"7,81","96,3721","7,70","8,59","96,0238","8,47",0,"HUF",0,"2023.05.03","D240430","2024.04.30","176 nap",176,"D240430","D240430","DKJ","2023.11.06"
0,"8,06","95,1064","7,95","8,82","94,6693","8,70",0,"HUF",0,"2023.06.28","D240626","2024.06.26","233 nap",233,"D240626","D240626","DKJ","2023.11.06"
0,"7,86","94,1429","7,75","8,68","93,5701","8,56",0,"HUF",0,"2023.08.23","D240821","2024.08.21","289 nap",289,"D240821","D240821","DKJ","2023.11.06"
0,"7,96","92,7401","7,85","8,80","92,0337","8,68",0,"HUF",0,"2023.11.02","D241030","2024.10.30","359 nap",359,"D241030","D241030","DKJ","2023.11.06"
