"accruedInterest","askEhmYield","askPrice","askYield","bidEhmYield","bidPrice","bidYield","coupon","currency","green","issueDate","longName","maturityDate","maturityInDays","maturityInDays_val","name","rawName","securityType","settleDate"
0,"","","","7,71","99,8312","7,61",0,"HUF",0,"2023.05.03","D240430","2024.04.30","8 nap",8,"D240430","D240430","DKJ","2024.04.22"
0,"","","","7,72","99,2239","7,61",0,"HUF",0,"2024.01.31","D240529","2024.05.29","37 nap",37,"D240529","D240529","DKJ","2024.04.22"
0,"6,24","98,9018","6,15","7,72","98,6446","7,61",0,"HUF",0,"2023.06.28","D240626","2024.06.26","65 nap",65,"D240626","D240626","DKJ","2024.04.22"
0,"6,39","98,3986","6,30","7,26","98,1839","7,16",0,"HUF",0,"2024.03.27","D240724","2024.07.24","93 nap",93,"D240724","D240724","DKJ","2024.04.22"
0,"6,43","97,9135","6,34","7,26","97,6500","7,16",0,"HUF",0,"2023.08.23","D240821","2024.08.21","121 nap",121,"D240821","D240821","DKJ","2024.04.22"
0,"6,60","96,6614","6,51","7,45","96,2468","7,35",0,"HUF",0,"2023.11.02","D241030","2024.10.30","191 nap",191,"D241030","D241030","DKJ","2024.04.22"
0,"6,62","95,7451","6,53","7,50","95,2054","7,40",0,"HUF",0,"2023.12.27","D241223","2024.12.23","245 nap",245,"D241223","D241223","DKJ","2024.04.22"
0,"6,60","94,8054","6,51","7,45","94,1742","7,35",0,"HUF",0,"2024.02.21","D250219","2025.02.19","303 nap",303,"D250219","D250219","DKJ","2024.04.22"
